Income,Total_amount_spent,Length_of_Association
65073,900,88
46681,425,87
78618,1778.25,99
62187,636,81
28442,57,82
37717,25,97
51479,494,96
54803,693,100
79530,1348,91
31615,51,93
72025,1778.25,97
52614,990,97
35684,30,80
48178,254,98
29548,29,88
63810,1371,98
38578,73,90
46098,120,100
22585,81,93
30279,37,96
66426,1377,87
30822,51,90
33581,22,96
19986,22,85
27421,324,97
35688,211,100
36143,22,81
18985.5,41,91
43795,492,86
63381,1005,99
38823,114,100
83664,1173,92
84130,1738,84
62499,222,84
74293,1127,80
51012,209,92
70777,787,82
68682,1598,87
43824,186,99
18985.5,47,100
23442,27,96
18985.5,96,98
31395,64,93
75276,1040,99
42373,163,88
30507,343,94
55521,446,86
48006,41,78
27213,70,100
65808,272,79
30351,46,91
50437,490,98
23616,79,97
53858,915,98
66465,1485,93
46923,369,100
75072,1073,95
75865,1242,81
19789,78,85
80134,1378,82
84130,1474,94
49505,751,94
37401,48,80
30096,45,79
18985.5,22,79
82584,1435,91
84130,1778.25,92
48686,22,85
84130,1778.25,80
75433,1188,81
18985.5,43,80
61314,1008,92
84130,1688,92
42387,684,98
67309,1082,95
75236,1068,85
30015,57,83
50943,46,90
67272,733,84
51529,467,88
32011,122,88
18985.5,36,95
28691,34,90
56223,156,84
18985.5,22,89
30279,37,96
20130,34,81
23295,22,89
42618,192,86
81246,1379,84
24027,48,91
55707,428,84
57959,868,92
56796,1001,94
36230,59,86
70829,431,85
65991,971,100
38988,348,100
84130,1778.25,99
42207,265,93
50300,270,79
66664,1289,99
60597,893,84
70165,926,87
50520,135,83
80124,1495,78
33183,120,82
66582,1288,82
75261,1743,92
31880,22,98
53790,542,82
49269,890,100
61456,1388,93
37406,22,86
56937,906,101
38415,44,96
20518,25,79
62503,973,94
41644,31,79
55842,518,79
62010,530,98
41124,506,98
38961,70,84
37760,54,88
32233,296,100
43057,266,86
83151,747,99
78825,895,99
65104,1053,85
60093,735,90
18985.5,22,83
28457,205,98
78952,1778.25,99
46310,309,97
76005,1722,94
58308,900,95
55614,682,85
59432,663,92
55563,43,81
78642,1778.25,92
67911,976,79
65275,746,93
27203,64,101
48330,32,85
24279,263,96
64355,1445,100
50943,46,90
53653,1210,98
65665,945,85
81217,1157,89
34935,137,90
61250,730,96
39665,216,91
60152,943,93
48920,347,86
84130,1778.25,81
44124,397,92
81169,1778.25,92
36443,138,95
26095,42,90
71367,777,88
80184,1778.25,82
30630,52,83
73454,1651,82
42691,358,88
70503,1727,99
25545,210,100
32880,42,97
77863,1291,85
50353,442,78
61839,1778.25,101
49154,411,86
47682,521,94
72679,1168,87
57954,493,78
65316,260,92
28567,46,90
47352,319,93
44931,96,83
76982,1062,82
57247,232,89
22944,76,84
25315,54,86
43638,201,101
42710,406,97
84130,1778.25,89
54058,662,91
24683,41,81
84130,1600,83
47850,134,85
19514,69,83
27159,22,81
39548,54,81
21474,91,80
60504,526,82
22419,162,92
81698,1008,86
43462,240,100
54880,795,94
79908,1772,93
18985.5,64,89
84130,1778.25,91
33039,78,87
81741,1572,90
71499,795,90
62466,889,83
48799,331,86
52157,265,78
66565,1065,97
29298,22,88
47691,22,90
38200,22,97
44989,369,100
38443,38,83
38593,177,87
64413,279,89
36959,62,87
61996,1230,95
51287,182,81
18985.5,49,88
47472,75,87
54603,227,90
45207,215,98
40689,444,93
47821,47,86
27450,143,92
39453,55,81
26850,63,80
79800,1778.25,99
61794,611,87
53863,473,79
24221,55,88
39684,81,99
84130,1778.25,97
69882,1478,85
33178,49,83
59973,382,87
18985.5,69,87
23910,67,98
42169,30,86
26224,63,91
31089,79,100
30081,42,94
62807,819,100
72906,1151,87
61467,594,97
49618,129,95
21888,213,96
42429,67,82
26150,28,94
30801,45,98
81168,1193,79
26877,268,88
45006,266,89
18985.5,37,97
22574,37,86
48240,882,98
45837,373,89
35791,35,92
84130,107,91
54162,42,93
30522,326,100
54456,404,89
31632,95,89
72298,939,81
36975,33,84
72635,981,91
18985.5,36,95
84130,1237,91
70971,1778.25,99
34487,103,100
28769,191,96
69084,1586,85
65488,963,78
62466,889,83
32218,93,82
83917,1587,92
46102,22,81
84130,1375,91
56181,393,96
63120,1477,99
73691,1179,86
63381,1005,99
76140,1348,79
62859,1307,96
45906,486,92
77632,1778.25,94
46463,235,88
84130,1724,95
55282,235,84
78710,1092,79
66886,599,87
84130,1778.25,82
29103,48,100
67445,1174,101
50616,67,80
49431,365,101
84130,22,82
61278,165,84
26490,210,99
73059,1095,88
46734,223,86
56253,597,97
19986,22,85
58330,1064,84
25965,74,100
18985.5,26,96
18985.5,60,96
45068,22,91
21063,59,87
29187,34,92
54690,198,86
59304,1048,89
59247,574,85
66731,1029,100
77353,670,84
52614,990,97
26751,22,79
81300,1241,98
70337,576,84
36145,172,90
65295,664,84
68118,928,86
68743,1778.25,100
41039,467,89
38946,257,86
65777,1146,84
66476,689,94
84130,1778.25,100
84130,1717,101
77845,1346,79
69476,1044,87
50611,493,99
61209,957,88
42315,270,89
18985.5,29,86
47570,121,91
61923,126,89
34824,23,81
26518,57,93
45938,636,86
78468,1004,80
78901,734,87
71427,614,81
71022,1453,82
84130,1621,80
41335,187,84
71952,1443,96
35682,57,78
43185,637,93
66375,948,85
35178,59,96
25252,22,89
55250,903,98
33249,112,94
58398,596,91
50272,233,89
76618,1511,97
84130,1152,99
25851,48,94
58710,1185,93
45160,22,81
74806,965,96
59111,869,92
18988,22,79
72190,1778.25,94
18985.5,71,101
44794,65,78
80395,1380,85
75012,1027,83
56962,411,86
84130,836,92
35946,22,87
53593,480,101
66373,606,90
45072,284,86
84130,1472,86
72025,1677,80
67432,1335,93
70545,334,79
18985.5,22,93
62882,1338,101
64108,1099,93
34941,97,94
48767,63,84
38702,109,89
82224,902,83
83844,1574,91
18985.5,38,84
71163,960,81
33697,28,87
63564,1215,83
83443,1497,84
51518,449,87
58330,1064,84
80952,1757,94
75507,1440,80
63855,1006,95
62220,1226,101
58512,1171,87
40662,92,93
38829,99,81
35523,66,87
79146,564,80
78285,1427,86
31626,86,92
75127,833,79
48726,242,92
74985,1778.25,100
67430,1364,100
46891,183,88
62058,450,91
72063,758,90
78939,1507,84
42720,654,92
33622,81,92
18985.5,137,97
41452,22,94
40760,93,88
74250,1158,83
51124,43,84
72258,1525,87
71466,1230,81
36283,29,80
20587,25,79
30467,24,81
31590,38,90
20425,57,98
18985.5,47,82
42564,813,96
43783,629,79
40780,377,100
62847,1612,95
82017,729,98
18985.5,50,89
51267,270,86
46524,177,93
45183,315,95
70421,767,78
60161,1071,98
73926,1580,94
19329,60,84
61872,573,84
46984,41,93
34838,170,95
82716,1167,86
48192,1526,93
49681,458,86
56850,63,81
55267,405,86
59666,1027,93
72504,1478,93
26872,72,86
21359,48,92
73170,726,79
52750,860,95
84130,1497,85
65968,495,79
30772,22,81
22507,570,97
65685,769,81
25804,55,88
76412,1778.25,92
22063,55,89
57091,577,78
22419,162,92
84130,1778.25,91
78353,1576,92
84130,1616,92
37859,36,95
80995,1482,92
18985.5,22,82
55412,63,85
48789,680,100
56575,542,92
25130,50,87
35441,39,94
71391,1043,93
49494,385,92
81702,1633,99
45889,46,90
56628,761,81
34026,76,89
40049,290,97
34176,89,79
19419,70,98
82504,1066,89
81205,1778.25,83
61618,1345,99
55284,764,96
49980,195,86
18985.5,53,92
49166,368,90
65324,544,83
82347,1778.25,98
30843,35,79
46374,446,81
60474,1180,93
38576,41,82
55357,727,94
37758,40,99
84130,1062,92
23228,40,83
44602,292,82
18985.5,22,96
38683,341,99
49514,369,84
57906,401,90
43456,393,93
19485,22,87
53172,486,92
30545,69,98
70123,1727,87
62450,995,84
21675,45,78
42395,182,81
61346,989,87
80812,1677,87
42835,595,90
39922,156,94
84130,1226,81
18985.5,128,95
24762,86,82
35797,68,98
36627,22,89
51111,55,78
84130,1778.25,100
82072,1778.25,90
46231,263,97
42243,55,84
51195,564,93
68092,1281,84
31814,83,95
51390,353,100
76630,1003,83
26868,22,80
48948,902,95
55260,1139,97
64090,797,89
78331,1638,83
37087,401,88
21846,84,86
81320,928,95
54137,203,88
66825,858,89
57100,409,85
58917,282,93
84130,1423,80
84130,1449,85
45684,28,85
47889,67,84
45921,199,81
78420,1453,90
75114,1253,86
52278,1198,95
35641,178,89
84130,1778.25,97
62820,976,92
73113,1001,84
84130,1778.25,89
42607,350,85
74637,1650,91
46015,46,80
72354,1228,92
39858,95,95
34469,62,80
83033,1761,79
24401,467,100
77583,1149,82
74116,1778.25,84
74293,1127,80
68397,1416,85
79632,1113,80
46107,125,82
64950,966,101
25443,32,96
75127,833,79
32892,46,79
71796,960,86
67536,1778.25,91
55239,779,89
60554,811,89
64831,1120,91
56067,725,89
82025,1187,91
84130,1778.25,94
18985.5,66,96
51563,1250,99
57937,683,82
68274,305,87
39771,50,85
67893,995,99
27922,41,79
52190,77,79
44051,171,95
42767,131,92
46106,54,79
18985.5,53,95
59754,475,97
53700,694,100
59041,96,79
54237,361,92
70647,1079,99
52597,578,79
41021,64,96
40233,149,86
50183,231,78
54753,728,87
84130,1778,88
33471,93,99
34596,23,92
44010,662,99
84130,1198,83
40706,81,95
18985.5,92,98
59052,491,85
80573,1564,98
83715,926,83
82576,1778.25,101
56962,411,86
35704,94,84
53103,1085,87
46779,23,89
18985.5,22,78
33462,54,89
63693,1150,86
80763,1415,88
65352,405,88
82170,1778.25,85
75759,1778.25,86
79689,1315,91
35340,45,78
84130,1778.25,81
24884,22,97
42021,573,100
64449,805,82
64587,108,78
34824,23,81
75437,1493,85
26091,89,82
52845,936,88
46086,343,86
78028,528,100
84130,1778.25,86
56337,724,93
22434,58,94
36930,297,91
36130,488,95
65569,859,98
83844,1574,91
19514,69,83
36736,22,92
77568,1778.25,100
49187,116,83
30168,279,94
34053,103,100
38196,44,80
59412,406,80
70924,1363,80
54165,236,91
32300,39,96
20180,137,94
34961,79,78
28440,63,90
64504,1314,94
33564,71,78
18985.5,58,98
56320,702,93
28647,94,88
18985.5,80,95
32173,22,89
68316,1211,98
74538,1461,90
84130,1778.25,95
68695,1091,78
31056,55,95
79593,1366,79
28071,313,100
37334,62,82
46423,92,87
37126,72,81
47703,655,91
61180,704,80
38998,54,98
18985.5,178,99
76081,1033,79
34728,36,89
33168,122,99
33585,122,87
77037,1123,86
35196,497,97
44529,691,90
70924,1363,80
28764,22,79
69098,1778.25,94
25959,56,94
27100,37,93
70596,968,99
42557,270,100
53312,278,89
72228,1250,97
67605,938,93
62845,1178,99
65196,1155,89
42000,653,96
35860,49,79
65526,506,80
18985.5,38,100
83528,1650,80
64176,1778.25,101
22304,22,101
67023,906,82
32892,46,79
70713,1477,97
59925,766,97
39722,47,82
46610,467,89
84130,1778.25,90
84130,1298,92
26907,22,88
50014,396,83
41014,22,92
66294,967,81
36715,357,97
79456,1401,100
40479,22,88
75345,1778.25,95
54233,981,95
24163,22,86
84130,523,96
43776,23,80
71691,1192,81
84130,1778.25,79
39190,133,80
71367,777,88
38578,73,90
57236,121,81
61825,424,89
79803,868,79
80910,756,98
27590,22,92
56775,937,96
83829,1778.25,87
54210,367,91
38508,443,89
53187,267,86
30023,61,81
76045,1323,85
50870,63,78
18985.5,64,89
65463,562,83
66480,312,79
76773,1156,94
81698,1104,94
54466,22,82
84130,1778.25,82
18985.5,44,88
71819,1574,88
33569,63,86
36262,426,87
22634,96,95
47025,635,87
70566,757,87
31605,125,97
52034,332,91
48526,135,84
46734,330,97
39552,384,96
84130,1722,101
46931,78,80
18985.5,24,95
63998,1168,84
67381,957,95
25930,22,86
42693,57,78
84130,1778.25,98
72903,1778.25,86
49669,326,79
36778,77,101
84130,1313,92
18985.5,30,79
49678,315,95
56129,660,90
37155,74,95
21282,46,79
33419,86,88
63285,1103,86
21255,61,83
42162,145,85
54450,684,99
57744,411,85
26576,27,99
57513,1060,90
68142,1459,100
18985.5,22,100
83145,1778.25,99
54197,237,81
23091,48,79
46049,515,89
56715,1020,97
79410,1370,79
57304,1026,94
44375,301,81
54450,684,99
59594,499,98
80685,1004,100
40344,218,86
62710,606,91
48985,75,90
35322,106,100
77142,990,91
81657,1097,83
18985.5,22,82
20130,34,81
74214,1711,100
66726,438,83
23724,75,96
47353,225,85
33444,22,98
54386,470,91
28510,91,92
84130,1778.25,82
48070,504,95
43140,235,96
54959,1232,95
18985.5,88,92
26954,22,79
22327,24,89
44393,60,88
62000,1020,88
31497,155,97
45894,51,82
78579,1778.25,96
67369,1461,97
58401,96,80
62307,160,82
43641,139,92
63841,908,92
46891,183,88
70091,1161,93
78075,988,81
59184,1072,100
54809,174,87
58113,758,95
51412,195,84
18985.5,31,99
66636,1084,88
50965,685,94
84130,1672,85
18985.5,43,86
40451,49,82
36317,133,91
42213,363,86
65748,545,92
77044,1065,86
74918,1778.25,94
56721,296,98
42160,140,90
61559,530,89
33629,152,101
68682,1598,87
34377,114,95
18985.5,101,100
26228,25,87
77297,789,95
40211,87,89
33438,90,87
75032,1215,92
61284,811,86
22518,61,98
54730,405,88
38452,72,81
44421,189,94
38197,40,90
41986,63,82
28427,52,93
37395,39,80
64722,805,79
55249,130,80
84130,1631,87
28691,34,90
44213,152,85
25707,22,83
59062,71,87
76624,899,79
66000,711,80
27683,351,101
18985.5,22,79
18985.5,119,97
40521,22,93
20427,22,81
65106,973,79
69969,1536,88
67433,992,89
77766,1529,94
74716,860,87
68118,928,86
55158,418,101
62972,587,101
74190,641,79
39356,23,81
76653,1778.25,88
35860,49,79
84130,1778.25,91
73450,1778.25,85
31454,48,90
47139,83,82
83829,1778.25,87
53378,793,99
19656,84,95
45579,183,88
84130,1383,78
55956,999,80
64191,825,95
38808,246,100
57183,610,93
23748,76,97
66303,1286,94
37368,30,84
40800,99,96
71847,1192,99
46149,362,85
78687,1778.25,101
49118,1229,100
37633,38,99
39767,485,89
26997,434,98
33986,44,93
57091,496,97
46831,78,91
83151,1778.25,95
52531,794,96
18985.5,22,88
22804,26,89
43050,76,81
42997,22,85
48918,62,80
60033,198,81
34043,49,86
57811,802,90
78569,1736,82
18985.5,57,96
84130,59,91
84130,1778.25,94
23148,37,82
44267,310,94
71626,1305,98
60894,832,90
50200,401,93
81051,1501,79
65169,1189,83
59868,1194,89
65695,656,83
64857,1540,97
45143,311,88
74805,820,86
59060,274,83
27238,57,92
47009,448,87
46094,44,78
40321,102,89
37235,61,83
81843,1643,92
46692,397,91
77382,1121,83
37774,473,100
18985.5,50,81
72828,1678,94
24711,58,80
45503,170,87
18985.5,373,84
71604,1196,85
27244,101,82
48752,316,97
71434,1400,87
84130,1424,89
84130,844,100
51948,311,87
71853,1149,92
35876,129,80
40049,32,86
39660,299,101
50127,320,79
43263,441,97
62845,1178,99
18985.5,85,94
24367,24,93
33249,112,94
26887,30,95
50150,410,90
62061,800,88
84130,1313,92
76542,1483,93
70515,1258,86
18985.5,28,98
69139,227,83
69109,1555,98
69627,861,93
38136,103,92
62159,634,80
80695,1778.25,84
33316,131,87
58554,586,99
18985.5,62,85
53034,447,91
52203,939,101
59601,797,89
75154,1143,100
47025,415,86
37971,30,85
41335,187,84
67267,251,79
57338,237,80
50523,91,84
35791,35,92
50611,493,99
56242,971,94
48904,371,97
56243,396,84
21355,68,88
57420,322,90
46390,222,80
54342,177,90
20895,45,99
84130,1778.25,83
26907,22,88
44964,41,96
75507,1440,80
53761,325,86
22682,95,87
38887,42,82
41658,72,98
29791,22,79
63915,789,89
39996,22,79
26759,59,82
63841,908,92
51039,417,97
60544,289,100
65685,769,81
37716,188,80
36864,354,101
44511,727,99
36947,146,101
47352,319,93
67087,794,84
57045,454,100
36957,152,100
69389,797,99
80134,1690,91
43142,22,82
80589,1428,83
34412,209,94
57537,545,91
22634,96,95
51315,222,82
36026,61,81
24639,44,83
34578,22,80
65704,817,86
63810,1371,98
54132,42,82
18985.5,60,96
28164,78,92
34596,23,92
43269,22,87
38741,61,81
31907,449,94
27100,37,93
31163,38,82
84130,1131,84
34853,34,84
70844,294,86
31086,48,92
60544,289,100
20491,30,95
42523,125,80
39922,156,94
33402,70,89
36408,22,87
21645,65,100
78427,1778.25,98
82657,1778.25,87
51876,310,86
78041,1319,96
52852,879,97
70038,1244,86
69401,690,81
46053,209,94
77343,1134,78
73892,1507,85
40304,57,87
32727,529,100
68695,1091,78
43300,180,99
26290,77,95
84130,1778.25,82
38410,534,99
64866,556,83
57957,637,88
46015,46,80
18985.5,44,78
28072,47,90
49476,795,90
50725,586,94
83844,1574,91
41145,22,82
67419,1471,95
23162,65,84
34380,175,92
34704,40,92
84130,1078,100
65148,1115,97
39898,134,94
64857,1540,97
59892,87,86
41020,217,86
57072,1034,83
60474,1180,93
62807,819,100
19414,32,86
19107,46,88
75484,1159,101
70379,860,94
79419,1631,78
64014,444,78
76998,1778.25,96
49854,380,85
60585,736,90
42873,269,95
84130,1778.25,89
57867,612,87
35765,75,84
65492,1045,83
32952,55,85
53374,1064,100
71706,1443,97
68487,1366,95
53253,436,94
31163,38,82
42014,436,100
54108,747,98
49667,1396,100
63206,928,81
57136,642,90
46772,1048,98
78931,943,86
53977,907,91
84130,1198,83
46098,120,100
73538,1658,97
79529,1638,80
20981,73,92
51766,275,81
55759,854,97
33039,78,87
37787,106,87
27242,106,98
84130,1778.25,91
69930,1662,91
37697,84,82
37401,48,80
18985.5,22,92
58597,733,97
82032,1234,81
28087,112,97
74004,1658,82
19740,55,93
57036,1513,97
53083,271,91
69283,904,78
46098,120,100
23331,103,100
23331,269,99
18985.5,22,84
67786,1156,85
71969,1086,98
59235,1128,95
31928,72,81
74881,964,94
65819,1383,97
51411,22,91
51983,793,100
42386,100,95
30390,80,88
30983,167,98
66033,677,95
37284,23,93
57530,92,86
76800,641,81
63943,1106,100
76081,1033,79
67445,1174,101
37054,25,87
47175,240,98
31859,22,90
27215,102,95
70179,1034,89
39922,156,94
49681,458,86
24645,22,98
79865,792,78
44322,92,78
47958,407,95
63972,1269,97
75315,841,80
55517,633,99
75283,1019,93
82800,1315,97
38998,54,98
84130,1778.25,82
27161,52,86
42014,436,100
38201,268,93
45203,147,81
81574,1778.25,80
34935,137,90
60482,507,95
34633,22,83
78093,1105,84
82460,974,85
45903,66,80
81361,778,82
35860,49,79
40442,169,100
61482,299,78
34968,221,93
75794,1682,84
31497,155,97
74268,892,94
18985.5,58,100
45143,311,88
52569,95,81
48432,424,98
18985.5,47,82
36108,339,86
76445,1410,99
36663,35,80
53843,562,90
84130,1778.25,99
70638,1334,91
44512,32,88
27116,41,82
54072,39,89
71855,1141,95
51250,710,93
60432,401,81
65526,506,80
68655,1538,101
18985.5,57,97
64509,1722,88
33955,270,89
31353,31,84
55434,882,87
28359,22,86
57100,311,79
69139,227,83
52973,1152,98
51717,122,88
18985.5,77,95
66664,1289,99
50664,561,95
54414,211,95
54549,233,82
47111,1092,100
41003,601,93
19444,54,82
36301,78,86
73059,1095,88
42731,244,86
52854,116,81
22775,22,90
46681,425,87
59821,734,92
50002,638,90
69755,894,87
44078,41,78
30560,31,90
35924,34,81
64140,1750,87
56386,612,98
24594,29,84
75774,823,80
39228,22,92
58494,396,84
58684,813,78
57136,1179,91
56551,138,79
22448,55,82
82014,1511,100
34213,117,100
84130,1730,92
25358,32,89
35544,67,81
36634,335,91
62670,825,83
50334,694,89
72066,1778.25,78
50729,496,92
34916,231,91
64892,902,79
43602,68,83
33996,71,87
41473,76,90
63246,772,88
36732,47,84
69084,1586,85
77766,1529,94
37929,265,89
84130,1603,88
80141,1778.25,96
72635,981,91
69016,1533,97
20193,82,97
27573,244,93
18985.5,36,90
49544,404,94
33228,71,83
70440,1572,87
38232,122,83
22554,41,98
23536,22,79
49413,304,86
42231,37,81
78789,1754,101
56534,815,89
58350,1001,96
81217,1157,89
49090,688,89
61787,1319,90
18985.5,22,94
24336,31,100
18985.5,67,96
62335,708,91
42033,25,99
84130,746,94
41437,32,99
73705,1695,82
61064,1080,100
38452,72,81
18985.5,57,85
55012,660,81
18985.5,103,99
38175,153,87
58656,1220,99
52117,279,100
64813,745,84
54222,264,82
83512,1778.25,78
77520,1526,88
41154,69,93
80398,1597,98
18985.5,64,79
35196,497,97
60230,1067,91
22108,31,79
44392,211,88
55424,877,97
18985.5,22,95
84130,1778.25,92
84130,1778.25,84
82571,1686,81
38513,324,83
18985.5,69,80
42586,252,98
23529,54,96
74881,964,94
71107,1327,94
46910,68,81
18985.5,60,96
37244,55,92
82427,1456,81
75342,563,92
70044,1504,94
79146,564,80
77437,1125,85
54984,358,79
42403,42,84
55761,184,80
37292,460,92
45576,145,79
70321,1376,95
58086,792,95
81795,1382,98
28389,28,97
66835,1033,87
69901,882,91
80360,1778.25,94
63342,1101,98
44989,369,100
31859,48,82
51569,467,94
30372,44,96
18985.5,38,93
41120,81,86
39763,167,89
38725,45,79
77981,664,91
62905,622,87
18985.5,48,94
59481,461,86
72117,1073,88
21955,55,88
67131,976,93
36802,22,78
71853,1149,92
28249,43,78
47808,224,86
25509,101,99
51012,209,92
70596,968,99
84130,1165,91
42664,24,81
42586,252,98
29760,165,100
28973,269,99
39435,102,89
65370,461,89
20194,47,96
42473,144,82
64590,1338,98
71232,917,85
34600,318,96
46904,253,98
49094,502,99
36075,119,84
60839,1250,100
77298,969,86
34026,76,89
48918,62,80
82122,1382,88
37697,84,82
34074,255,89
28520,43,90
62535,398,87
36273,76,80
63404,902,78
75774,823,80
78416,1179,78
75702,1778.25,98
59385,185,92
37070,433,93
44689,34,83
53977,907,91
18985.5,416,85
18985.5,44,91
84130,1588,80
63159,1778.25,98
37758,40,99
46757,1143,97
79734,914,78
63207,1502,95
72071,1338,94
21840,27,89
58582,763,87
72282,1331,89
50387,525,88
32583,22,78
62568,953,80
44635,68,86
33316,131,87
63967,882,89
52513,1149,100
25293,37,87
54111,388,88
78394,1428,94
80739,1633,91
22669,173,91
29236,99,87
44911,215,93
54693,929,94
48186,219,81
54809,174,87
41580,92,97
80336,1052,87
47743,275,93
62972,587,101
57333,1662,99
32313,159,94
84130,1024,91
27071,35,80
68148,1042,88
65735,395,85
84130,557,100
18985.5,22,78
30093,69,90
57705,486,83
25008,34,83
83257,1365,99
22280,22,91
72159,1401,98
64260,1574,96
82733,1323,87
74290,1217,88
58217,103,97
21024,84,90
70116,1536,95
54006,581,99
69063,928,98
18985.5,22,84
61825,424,89
70886,960,86
69109,1555,98
60208,656,99
32889,55,88
34738,22,79
30538,367,99
82326,1778.25,81
26642,42,82
69932,1049,90
44503,48,80
60200,685,96
49638,39,80
23830,43,82
33051,835,100
72905,1515,83
69702,1039,94
70300,1596,89
70643,1778.25,98
30396,34,80
50616,149,80
62772,946,91
30298,28,79
52413,450,98
