Income,Recency,Total_amount_spent,Customer_purchases_webvisits,Length_of_Association,Age
44551.0,24,285.0,19,89,67
69508.0,48,1135.0,33,98,41
45204.0,93,114.0,10,81,33
72460.0,56,1047.0,17,86,52
77622.0,3,714.0,25,81,51
30732.0,44,185.0,21,97,41
63887.0,38,1245.0,33,101,59
42011.0,46,189.0,20,94,43
51369.0,84,576.0,24,99,45
51537.0,27,1103.0,26,98,69
79930.0,72,1753.0,19,102,49
34320.0,66,22.0,12,83,35
37070.0,30,433.0,30,94,55
81975.0,2,1588.0,21,97,59
38590.0,65,22.0,12,92,50
18985.5,37,22.0,10,81,70
62745.0,89,1117.0,33,94,56
22212.0,49,69.0,14,85,46
23661.0,46,23.0,12,86,39
79761.0,32,605.0,22,88,63
18985.5,54,57.0,18,85,48
60182.0,23,22.0,10,80,71
73455.0,98,1778.25,25,87,53
64961.0,97,1009.0,19,97,63
22804.0,75,26.0,14,90,50
73687.0,8,1627.0,24,86,33
61074.0,37,1102.0,33,101,63
31686.0,31,22.0,12,80,57
80134.0,40,1690.0,22,92,49
75027.0,74,1390.0,26,97,68
67546.0,90,1778.25,23,101,33
65176.0,57,1531.0,31,99,52
31160.0,59,64.0,15,88,46
29938.0,52,26.0,12,87,36
84130.0,5,1112.0,31,94,47
26490.0,92,210.0,17,100,63
75702.0,77,1148.0,33,101,54
30899.0,35,33.0,12,100,47
63342.0,48,1101.0,25,99,60
45989.0,97,322.0,19,99,57
18985.5,95,44.0,15,92,57
40737.0,24,22.0,12,86,64
18985.5,60,31.0,13,100,42
69674.0,46,845.0,30,92,53
44159.0,85,275.0,20,79,51
37717.0,31,25.0,13,98,43
43776.0,9,275.0,25,96,69
38179.0,30,90.0,18,94,55
80124.0,47,1495.0,20,79,58
38097.0,70,184.0,18,99,51
72940.0,13,981.0,14,91,51
22070.0,11,67.0,14,88,51
69267.0,31,1635.0,21,100,68
31788.0,15,60.0,15,82,38
61905.0,2,231.0,17,84,46
29315.0,55,48.0,16,82,61
33378.0,38,99.0,16,96,58
66313.0,86,770.0,27,88,58
60714.0,56,957.0,28,96,65
77882.0,29,818.0,13,81,40
69867.0,30,925.0,18,94,35
63841.0,64,908.0,28,93,53
24480.0,46,102.0,17,96,40
51369.0,84,576.0,24,99,45
37760.0,20,317.0,20,101,71
65640.0,74,461.0,17,83,47
44319.0,18,37.0,12,81,46
30631.0,75,70.0,14,90,47
75278.0,17,930.0,26,96,69
50898.0,88,859.0,33,97,65
79946.0,19,1478.0,25,80,55
35416.0,62,390.0,24,91,71
32414.0,11,52.0,12,91,37
38361.0,74,137.0,17,85,52
82497.0,32,1778.25,23,99,41
18985.5,76,68.0,18,84,50
29672.0,6,25.0,10,95,56
55951.0,62,1374.0,31,101,69
35388.0,20,32.0,12,95,33
42386.0,43,100.0,15,96,35
68627.0,45,825.0,13,97,39
57912.0,34,916.0,33,82,56
35246.0,53,62.0,16,81,63
58821.0,44,728.0,27,87,65
46377.0,89,90.0,11,83,43
39747.0,43,273.0,21,81,33
23976.0,68,66.0,17,85,37
80950.0,44,1213.0,25,94,60
27038.0,64,107.0,16,100,55
77457.0,85,1157.0,19,83,71
64100.0,93,546.0,25,88,57
42670.0,12,241.0,15,93,33
18985.5,86,53.0,17,84,45
22574.0,28,37.0,14,87,54
70893.0,42,1508.0,26,96,45
54198.0,13,235.0,20,85,55
28839.0,86,32.0,12,82,65
40321.0,59,102.0,15,90,49
66503.0,30,401.0,18,102,36
30833.0,33,28.0,11,90,70
64795.0,23,680.0,23,96,50
34421.0,81,30.0,11,91,47
47025.0,6,22.0,11,83,56
64325.0,41,1307.0,30,96,60
40464.0,78,630.0,32,97,68
62187.0,49,1283.0,21,91,64
18985.5,39,65.0,17,91,45
27255.0,3,37.0,12,87,37
54432.0,37,38.0,10,93,71
29999.0,22,160.0,20,95,35
24072.0,79,23.0,12,93,38
33996.0,46,71.0,10,88,33
66334.0,82,1161.0,24,94,65
35178.0,10,59.0,12,97,50
22010.0,51,33.0,15,91,38
62204.0,38,946.0,25,101,61
75693.0,10,1442.0,26,98,53
30675.0,14,62.0,13,99,49
83003.0,18,1674.0,25,95,56
83532.0,36,1778.25,16,88,71
68655.0,95,1538.0,24,102,33
41411.0,11,139.0,14,86,35
55212.0,65,1182.0,28,98,52
59292.0,71,507.0,21,91,71
27190.0,13,22.0,12,89,48
82623.0,58,940.0,17,86,69
44300.0,65,42.0,12,91,56
84130.0,0,1190.0,16,79,51
30372.0,33,44.0,15,97,50
33181.0,90,22.0,10,85,45
71113.0,95,835.0,30,85,64
71952.0,93,1443.0,26,97,35
69759.0,38,1029.0,21,87,55
72099.0,18,1188.0,19,99,47
60000.0,57,1277.0,30,97,45
38643.0,45,49.0,14,86,43
50737.0,61,99.0,13,93,66
68462.0,6,1670.0,16,98,52
65073.0,65,900.0,16,89,71
46681.0,52,425.0,21,88,71
78618.0,87,1778.25,24,100,64
62187.0,38,636.0,25,82,52
28442.0,53,57.0,14,83,43
37717.0,31,25.0,13,98,43
51479.0,67,494.0,29,97,54
54803.0,65,693.0,23,101,52
79530.0,64,1348.0,28,92,61
31615.0,82,51.0,14,94,45
72025.0,27,1778.25,19,98,59
52614.0,63,990.0,24,98,46
35684.0,66,30.0,11,81,37
48178.0,69,254.0,24,99,46
29548.0,52,29.0,10,89,51
63810.0,45,1371.0,31,99,55
38578.0,2,73.0,17,91,49
46098.0,86,120.0,19,101,46
22585.0,23,81.0,14,94,51
30279.0,13,37.0,13,97,33
66426.0,14,1377.0,26,88,60
30822.0,92,51.0,12,91,52
33581.0,38,22.0,12,97,52
19986.0,74,22.0,11,86,36
27421.0,14,324.0,21,98,67
35688.0,94,211.0,24,101,48
36143.0,33,22.0,10,82,40
18985.5,32,41.0,13,92,50
43795.0,11,492.0,24,87,53
63381.0,78,1005.0,28,100,61
38823.0,56,114.0,13,101,71
83664.0,57,1173.0,24,93,53
84130.0,7,1738.0,20,85,42
62499.0,0,222.0,16,85,42
74293.0,66,1127.0,18,81,33
51012.0,86,209.0,16,93,71
70777.0,80,787.0,26,83,53
68682.0,56,1598.0,26,88,33
43824.0,18,186.0,20,100,50
18985.5,51,47.0,14,101,37
23442.0,71,27.0,12,97,34
18985.5,71,96.0,18,99,41
31395.0,80,64.0,16,94,65
75276.0,2,1040.0,28,100,56
42373.0,83,163.0,18,89,47
30507.0,29,343.0,18,95,61
55521.0,11,446.0,31,87,66
48006.0,55,41.0,11,79,56
27213.0,19,70.0,17,101,49
65808.0,1,272.0,20,80,50
30351.0,19,46.0,15,92,47
50437.0,28,490.0,26,99,58
23616.0,76,79.0,16,98,39
53858.0,50,915.0,21,99,45
66465.0,1,1485.0,33,94,66
46923.0,90,369.0,23,101,34
75072.0,83,1073.0,22,96,59
75865.0,73,1242.0,20,82,71
19789.0,24,78.0,14,86,46
80134.0,11,1378.0,26,83,33
84130.0,33,1474.0,29,95,40
49505.0,4,751.0,33,95,50
37401.0,14,48.0,14,81,48
30096.0,30,45.0,12,80,38
18985.5,75,22.0,12,80,39
82584.0,26,1435.0,17,92,47
84130.0,77,1778.25,24,93,71
48686.0,8,22.0,12,86,68
84130.0,42,1778.25,28,81,35
75433.0,28,1188.0,25,82,33
18985.5,52,43.0,12,81,33
61314.0,1,1008.0,27,93,53
84130.0,1,1688.0,20,93,60
42387.0,42,684.0,29,99,33
67309.0,76,1082.0,33,96,54
75236.0,27,1068.0,29,86,57
30015.0,28,57.0,12,84,51
50943.0,49,46.0,10,91,65
67272.0,12,733.0,28,85,55
51529.0,14,467.0,25,89,71
32011.0,89,122.0,17,89,50
18985.5,96,36.0,15,96,35
28691.0,56,34.0,13,91,33
56223.0,72,156.0,14,85,71
18985.5,14,22.0,10,90,71
30279.0,13,37.0,13,97,33
20130.0,99,34.0,13,82,47
23295.0,72,22.0,12,90,62
42618.0,92,192.0,19,88,49
81246.0,87,1379.0,18,85,57
24027.0,7,48.0,15,92,45
55707.0,91,428.0,19,85,68
57959.0,71,868.0,30,93,66
56796.0,24,1001.0,33,95,52
36230.0,17,59.0,12,87,50
70829.0,87,431.0,19,86,41
65991.0,21,971.0,33,101,45
38988.0,90,348.0,27,101,49
84130.0,44,1778.25,28,100,55
42207.0,71,265.0,20,94,37
50300.0,52,270.0,15,80,69
66664.0,78,1289.0,22,100,39
60597.0,2,893.0,23,85,57
70165.0,60,926.0,23,88,71
50520.0,25,135.0,15,84,63
80124.0,47,1495.0,20,79,58
33183.0,46,120.0,16,83,46
66582.0,83,1288.0,21,83,52
75261.0,17,1743.0,19,93,66
31880.0,13,22.0,12,99,51
53790.0,86,542.0,26,83,70
49269.0,92,890.0,32,102,50
61456.0,47,1388.0,33,94,46
37406.0,18,22.0,12,87,41
56937.0,81,906.0,33,102,40
38415.0,91,44.0,13,97,43
20518.0,58,25.0,10,80,33
62503.0,40,973.0,31,95,65
41644.0,67,31.0,10,80,49
55842.0,19,518.0,22,80,44
62010.0,93,530.0,24,99,49
41124.0,41,506.0,29,99,44
38961.0,60,70.0,13,85,48
37760.0,54,54.0,12,89,49
32233.0,26,296.0,21,101,47
43057.0,30,266.0,20,87,46
83151.0,93,747.0,22,100,61
78825.0,35,895.0,32,101,57
65104.0,4,1053.0,24,86,45
60093.0,92,735.0,27,91,47
18985.5,24,22.0,12,84,52
28457.0,96,205.0,18,99,69
78952.0,11,1778.25,27,100,63
46310.0,99,309.0,22,98,45
76005.0,72,1722.0,28,95,66
58308.0,77,900.0,23,97,57
55614.0,85,682.0,27,86,71
59432.0,88,663.0,27,93,59
55563.0,22,43.0,10,82,43
78642.0,83,1778.25,24,93,50
67911.0,63,976.0,30,80,71
65275.0,9,746.0,23,94,71
27203.0,92,64.0,14,102,71
48330.0,2,32.0,10,86,60
24279.0,6,263.0,17,97,33
64355.0,66,1445.0,29,101,36
50943.0,49,46.0,10,91,65
53653.0,29,1210.0,33,99,68
65665.0,77,945.0,27,86,45
81217.0,77,1157.0,23,90,33
34935.0,71,137.0,15,91,33
61250.0,49,730.0,30,97,62
39665.0,97,216.0,19,92,40
60152.0,6,943.0,26,94,42
48920.0,93,347.0,23,87,57
84130.0,78,1778.25,20,82,62
44124.0,62,397.0,25,93,71
81169.0,47,1778.25,24,93,46
36443.0,9,138.0,19,96,60
26095.0,77,42.0,12,91,33
71367.0,24,777.0,19,89,62
80184.0,19,1778.25,23,83,71
30630.0,67,52.0,14,84,56
73454.0,95,1651.0,18,83,34
42691.0,48,358.0,18,89,33
70503.0,73,1727.0,22,100,68
25545.0,35,210.0,16,101,34
32880.0,76,42.0,13,98,35
77863.0,20,1291.0,22,86,63
50353.0,72,442.0,18,79,44
61839.0,20,1778.25,25,102,57
49154.0,69,411.0,25,87,61
47682.0,80,521.0,24,95,46
72679.0,65,1168.0,18,88,52
57954.0,52,493.0,30,79,44
65316.0,65,260.0,16,93,59
28567.0,57,46.0,13,91,39
47352.0,70,319.0,23,94,70
44931.0,0,96.0,12,84,54
76982.0,19,1062.0,20,83,54
57247.0,50,232.0,14,90,69
22944.0,67,76.0,16,85,40
25315.0,46,54.0,17,87,44
43638.0,37,201.0,18,102,52
42710.0,38,406.0,20,98,37
84130.0,9,1778.25,23,90,39
54058.0,56,662.0,23,92,45
24683.0,98,41.0,13,83,33
84130.0,68,1600.0,15,85,57
47850.0,72,134.0,14,86,41
19514.0,47,69.0,18,84,53
27159.0,33,22.0,12,82,48
39548.0,87,54.0,10,82,58
21474.0,0,91.0,15,81,33
60504.0,73,526.0,24,83,50
22419.0,74,162.0,16,93,58
81698.0,4,1008.0,26,87,71
43462.0,50,240.0,24,101,69
54880.0,57,795.0,26,95,43
79908.0,30,1772.0,21,94,39
18985.5,27,64.0,13,90,51
84130.0,61,1778.25,26,92,62
33039.0,4,78.0,12,89,43
81741.0,75,1572.0,21,91,41
71499.0,12,795.0,30,91,50
62466.0,13,889.0,30,84,51
48799.0,9,331.0,18,87,58
52157.0,48,265.0,16,79,71
66565.0,80,1065.0,27,98,59
29298.0,60,22.0,10,89,70
47691.0,43,22.0,10,91,42
38200.0,19,22.0,11,98,51
44989.0,26,369.0,22,101,47
38443.0,58,38.0,13,84,53
38593.0,42,177.0,19,88,43
64413.0,27,279.0,17,90,51
36959.0,56,62.0,15,88,40
61996.0,27,1230.0,26,96,44
51287.0,10,182.0,18,82,53
18985.5,48,49.0,18,89,51
47472.0,39,75.0,13,88,55
54603.0,85,227.0,23,91,65
45207.0,64,215.0,21,99,47
40689.0,69,444.0,28,94,70
47821.0,54,47.0,13,87,54
27450.0,57,143.0,14,93,70
39453.0,64,55.0,13,82,38
26850.0,10,63.0,15,81,50
79800.0,65,1778.25,25,100,66
61794.0,74,611.0,22,88,60
53863.0,4,473.0,25,80,66
24221.0,94,55.0,10,89,62
39684.0,41,81.0,14,100,37
84130.0,25,1778.25,23,98,46
69882.0,94,1478.0,21,86,56
33178.0,9,49.0,10,84,44
59973.0,47,382.0,16,88,49
18985.5,12,69.0,16,88,46
23910.0,80,67.0,13,99,52
42169.0,20,30.0,14,87,52
26224.0,39,63.0,15,92,43
31089.0,57,79.0,18,101,40
30081.0,27,42.0,12,95,60
62807.0,83,819.0,28,101,61
72906.0,79,1151.0,18,88,66
61467.0,69,594.0,25,98,71
49618.0,77,129.0,18,96,55
21888.0,15,213.0,22,97,35
42429.0,99,67.0,12,83,48
26150.0,61,28.0,12,95,65
30801.0,23,45.0,13,99,46
81168.0,84,1193.0,21,81,56
26877.0,74,268.0,18,89,52
45006.0,90,266.0,15,90,71
18985.5,41,37.0,13,98,48
22574.0,28,37.0,14,87,54
48240.0,73,882.0,30,99,52
45837.0,88,373.0,25,90,47
35791.0,94,35.0,14,93,56
84130.0,31,107.0,10,92,45
54162.0,31,42.0,10,94,43
30522.0,6,326.0,19,101,61
54456.0,23,404.0,23,91,60
31632.0,92,95.0,13,90,50
72298.0,52,939.0,15,82,71
36975.0,50,33.0,12,85,43
72635.0,54,981.0,24,92,66
18985.5,93,36.0,13,96,45
84130.0,56,1237.0,23,92,46
70971.0,28,1778.25,33,100,61
34487.0,94,103.0,18,101,44
28769.0,76,191.0,21,97,44
69084.0,43,1586.0,33,86,51
65488.0,46,963.0,15,79,63
62466.0,13,889.0,30,84,51
32218.0,27,93.0,14,83,61
83917.0,12,1587.0,24,93,48
46102.0,3,22.0,11,82,59
84130.0,72,1375.0,33,92,69
56181.0,6,393.0,18,97,59
63120.0,53,1477.0,33,100,71
73691.0,58,1179.0,20,87,50
63381.0,78,1005.0,28,100,61
76140.0,57,1348.0,23,80,71
62859.0,37,1307.0,29,97,62
45906.0,20,486.0,20,93,57
77632.0,73,1778.25,15,95,71
46463.0,56,235.0,23,89,50
84130.0,36,1724.0,33,96,51
55282.0,9,235.0,15,85,51
78710.0,42,1092.0,32,80,44
66886.0,28,599.0,22,88,63
84130.0,23,1778.25,20,83,61
29103.0,38,48.0,15,101,36
67445.0,63,1174.0,33,102,47
50616.0,71,67.0,10,81,71
49431.0,9,365.0,23,102,66
84130.0,81,22.0,10,83,46
61278.0,87,165.0,16,85,68
26490.0,92,210.0,17,100,63
73059.0,36,1095.0,30,89,71
46734.0,86,223.0,18,87,55
56253.0,83,597.0,28,98,58
19986.0,74,22.0,11,86,36
58330.0,87,1064.0,28,85,46
25965.0,29,74.0,14,101,41
18985.5,88,26.0,11,97,65
18985.5,77,60.0,13,97,62
45068.0,25,22.0,11,92,47
21063.0,34,59.0,13,88,34
29187.0,43,34.0,13,93,53
54690.0,76,198.0,15,87,50
59304.0,81,1048.0,33,90,57
59247.0,87,574.0,27,87,59
66731.0,33,1029.0,20,101,51
77353.0,38,670.0,24,85,41
52614.0,63,990.0,24,98,46
26751.0,26,22.0,12,80,47
81300.0,17,1241.0,26,99,58
70337.0,75,576.0,18,85,42
36145.0,13,172.0,21,91,36
65295.0,19,664.0,22,85,41
68118.0,51,928.0,29,87,58
68743.0,81,1778.25,33,101,54
41039.0,32,467.0,23,90,39
38946.0,84,257.0,17,87,66
65777.0,87,1146.0,18,85,54
66476.0,99,689.0,24,95,45
84130.0,96,1778.25,24,101,49
84130.0,21,1717.0,33,102,39
77845.0,40,1346.0,22,80,33
69476.0,3,1044.0,17,88,52
50611.0,98,493.0,28,100,61
61209.0,73,957.0,15,89,51
42315.0,90,270.0,15,90,63
18985.5,29,29.0,11,87,69
47570.0,3,121.0,16,92,71
61923.0,94,126.0,11,90,60
34824.0,65,23.0,10,82,33
26518.0,33,57.0,16,94,71
45938.0,46,636.0,26,87,60
78468.0,29,1004.0,32,81,61
78901.0,99,734.0,24,88,48
71427.0,26,614.0,24,82,43
71022.0,30,1453.0,29,83,43
84130.0,27,1621.0,16,81,33
41335.0,24,187.0,19,85,53
71952.0,93,1443.0,26,97,35
35682.0,34,57.0,10,79,51
43185.0,88,637.0,28,94,70
66375.0,96,948.0,21,86,71
35178.0,10,59.0,12,97,50
25252.0,26,22.0,12,90,35
55250.0,49,903.0,31,99,56
33249.0,11,112.0,14,95,46
58398.0,44,596.0,24,92,68
50272.0,75,233.0,20,90,39
76618.0,64,1511.0,12,98,46
84130.0,19,1152.0,19,100,61
25851.0,45,48.0,14,96,43
58710.0,77,1185.0,33,94,51
45160.0,9,22.0,11,82,63
74806.0,1,965.0,20,97,56
59111.0,90,869.0,28,93,67
18988.0,43,22.0,13,80,37
72190.0,79,1778.25,19,95,56
18985.5,19,71.0,21,102,45
44794.0,99,65.0,12,79,55
80395.0,62,1380.0,26,86,66
75012.0,41,1027.0,24,84,45
56962.0,60,411.0,28,87,56
84130.0,17,836.0,30,93,33
35946.0,24,22.0,10,88,71
53593.0,60,480.0,31,102,68
66373.0,57,606.0,26,91,43
45072.0,74,284.0,24,87,71
84130.0,22,1472.0,19,88,48
72025.0,46,1677.0,28,81,71
67432.0,69,1335.0,23,94,48
70545.0,29,334.0,15,80,69
18985.5,37,22.0,11,94,33
62882.0,26,1338.0,24,102,52
64108.0,8,1099.0,33,94,68
34941.0,26,97.0,16,95,65
48767.0,79,63.0,14,85,71
38702.0,71,109.0,15,90,43
82224.0,83,902.0,24,84,57
83844.0,57,1574.0,21,93,69
18985.5,37,38.0,14,85,46
71163.0,30,960.0,25,82,33
33697.0,34,28.0,11,88,51
63564.0,0,1215.0,33,84,67
83443.0,89,1497.0,24,85,49
51518.0,92,449.0,20,88,63
58330.0,87,1064.0,28,85,46
80952.0,20,1757.0,33,95,52
75507.0,56,1440.0,24,81,42
63855.0,28,1006.0,28,96,43
62220.0,55,1226.0,29,102,49
58512.0,25,1171.0,28,88,57
40662.0,0,92.0,12,94,42
38829.0,86,99.0,13,82,62
35523.0,8,66.0,15,88,40
79146.0,33,564.0,25,81,54
78285.0,13,1427.0,24,87,33
31626.0,12,86.0,13,93,43
75127.0,92,833.0,20,80,69
48726.0,90,242.0,18,93,66
74985.0,8,1778.25,19,101,44
67430.0,6,1364.0,33,101,34
46891.0,91,183.0,12,89,56
62058.0,52,450.0,24,92,65
72063.0,3,758.0,23,91,42
78939.0,57,1507.0,23,85,70
42720.0,9,654.0,33,93,56
33622.0,22,81.0,16,93,49
18985.5,76,137.0,21,98,64
41452.0,86,22.0,11,95,68
40760.0,64,93.0,14,89,56
74250.0,90,1158.0,19,84,63
51124.0,79,43.0,10,85,66
72258.0,28,1525.0,24,88,50
71466.0,86,1230.0,20,82,47
36283.0,42,29.0,10,81,45
20587.0,39,25.0,12,80,51
30467.0,8,24.0,11,82,49
31590.0,40,38.0,13,91,49
20425.0,5,57.0,14,99,35
18985.5,96,47.0,19,83,61
42564.0,28,813.0,31,97,53
43783.0,22,629.0,29,80,43
40780.0,30,377.0,26,101,45
62847.0,45,1612.0,16,96,71
82017.0,58,729.0,19,99,64
18985.5,49,50.0,13,90,71
51267.0,37,270.0,19,87,43
46524.0,70,177.0,12,94,60
45183.0,33,315.0,20,96,59
70421.0,98,767.0,29,79,67
60161.0,17,1071.0,33,99,56
73926.0,54,1580.0,27,95,48
19329.0,39,60.0,18,85,53
61872.0,81,573.0,25,85,51
46984.0,71,41.0,10,94,65
34838.0,62,170.0,16,96,70
82716.0,8,1167.0,30,87,71
48192.0,76,1526.0,33,94,63
49681.0,66,458.0,28,87,45
56850.0,83,63.0,10,82,50
55267.0,28,405.0,20,87,64
59666.0,87,1027.0,28,94,49
72504.0,43,1478.0,24,94,49
26872.0,0,72.0,11,87,40
21359.0,1,48.0,15,93,49
73170.0,1,726.0,18,80,46
52750.0,72,860.0,31,96,66
84130.0,72,1497.0,23,86,35
65968.0,12,495.0,21,80,51
30772.0,89,22.0,10,82,45
22507.0,67,570.0,28,98,67
